match
"Abbot, ""Covenants in a Lease Which Run with the Land"", (1921) 31 Yale Law Journal"
"Clough, ""Trends in the Law of Unconscionability"", (1999) 18 Australian Bar Review"
"Cochrane, ""The team approach to separate representation - the New Zealand perspective"" in Family Court of Australia, Enhancing Access to Justice:"
"Coenen, ""Rules Against Rulification"" (2014) 124 Yale Law Journal"
"Collins, ""Interaction between Contract and Tort in the Conflict of Laws"", (1967) 16 International and Comparative Law Quarterly"
"Collins, ""Interaction between Contract and Tort in the Conflict of Laws"", (1967) 16 International and Comparative Law Quarterly"
"Collins, ""Choice of law in defamation after John Pfeiffer Pty Ltd v Rogerson"", (2001) 6 Media and Arts Law Review"
"Collins, ""Provisional and Protective Measures in International Litigation"", (1992-III) 234 Recueil des Cours"
"Collins, ""Implied Duty to Give Information During Performance of Contracts"", (1992) 55 Modern Law Review"
"Collins, ""Implied Duty to Give Information During Performance of Contracts"", (1992) 55 Modern Law Review"
"Collins, ""Foreign Relations and the Judiciary"", (2002) 51 International and Comparative Law Quarterly"
"Colvin, ""Criminal Procedure in the South Pacific"", (2004) Bond University Law Papers at 5–6, available at <epublications.bond.edu.au/law_pubs/19>."
"Comment, ""Damages for Wrongful Death and the Possibility of Remarriage"", (1970) 32 University of Pittsburg Law Review"
"Gray, ""Compulsory Marketing Schemes and Section 92 of the Australian Constitution"" (2014) 33 University of Tasmania Law Review"
"Grossman, ""Nationality and the Unrecognised State"" (2001) 50 International and Comparative Law Quarterly"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1913) 23 Yale Law Journal"
"Meagher, ""Insolvency of Trustees"" (1979) 53 Australian Law Journal"
"von Hirsch, ""Proportionality in the Philosophy of Punishment"" (1992) 16 Crime and Justice:"
"Conaglen, ""The Extent of Fiduciary Accounting and the Importance of Authorisation Mechanisms"", (2011) 70 Cambridge Law Journal"
"Conaglen, ""Fiduciary Regulation of Conflicts Between Duties"", (2009) 125 Law Quarterly Review"
"Conaglen, ""Sham Trusts"", (2008) 67 Cambridge Law Journal"
"Conaglen, ""Sham Trusts"", (2008) 67 Cambridge Law Journal"
"Conaglen, ""Sham Trusts"", (2008) 67 Cambridge Law Journal"
"Conaglen, ""Sham Trusts"", (2008) 67 Cambridge Law Journal"
"Conaglen, ""Sham Trusts"", (2008) 67 Cambridge Law Journal"
"Conaglen, ""Sham Trusts"", (2008) 67 Cambridge Law Journal"
"Conaglen, ""Sham Trusts"", (2008) 67 Cambridge Law Journal"
"Conclusion: ""demands"" and identified causes of action"
"Connor, ""The Use of Judges in Non-Judicial Roles"", (1978) 52 Australian Law Journal"
"Williams, ""Liability for Independent Contractors"", (1956) Cambridge Law Journal"
"Symeonides, ""Choice of Law in the American Courts in 1997"", (1998) 46 American Journal of Comparative Law"
"Cooke, ""Third Thoughts on Administrative Law"", (1979) 5 New Zealand Recent Law"
"Cooke, ""Venire de Novo"" (1955) 71 Law Quarterly Review"
"Cooke, ""Venire de Novo"" (1955) 71 Law Quarterly Review"
"Cooke, ""Venire de Novo"" (1955) 71 Law Quarterly Review"
"Hoyano, ""Misconceptions About Wrongful Conception"", (2002) 65 Modern Law Review"
"Cooper, ""Equity and Unregistered Land Rights in Commonwealth Registration Systems"", (2003) 3 Oxford University Commonwealth Law Journal"
"Corbett, ""A Reformulation of the Right to Recover Compensation for Medically Related Injuries in the Tort of Negligence"" (1997) 19 Sydney Law Review"
"Corbett, ""A Reformulation of the Right to Recover Compensation for Medically Related Injuries in the Tort of Negligence"" (1997) 19 Sydney Law Review"
"Corcoran, ""Theories of Statutory Interpretation"", in Corcoran and Bottomley"
"Cordner, ""Forensic Pathology"", in Freckelton and Selby's Expert Evidence (1993), vol 1 at [33.460]-[33.470"
"Corns, ""The discretion of a Court of Appeal to order a new trial or a verdict of acquittal"", (2006) 30 Criminal Law Journal"
"Corns, ""The discretion of a Court of Appeal to order a new trial or a verdict of acquittal"", (2006) 30 Criminal Law Journal"
"Corones, ""The Characterisation of Conduct under Section 46 of the Trade Practices Act"", (2002) 30 Australian Business Law Review"
"Corr, ""Criminal Procedure and the Conflict of Laws"", (1985) 73 Georgetown Law Journal"
"Costigan, ""The Date and Authorship of the Statute of Frauds"", (1913) 26 Harvard Law Review"
"Costigan, ""The Date and Authorship of the Statute of Frauds"", (1913) 26 Harvard Law Review"
"Cowan, ""Renvoi Does Not Involve a Logical Fallacy"", (1938) 87 University of Pennsylvania Law Review"
"Cowan, ""Renvoi Does Not Involve a Logical Fallacy"", (1938) 87 University of Pennsylvania Law Review"
"Cowen, ""An Artist in the Courts of Law"", (1945) 19 Australian Law Journal"
"Crago, ""Principles of Disclaimer of Gifts"", (1999) 28 University of Western Australia Law Review"
"Crago, ""Principles of Disclaimer of Gifts"" (1999) 28 University of Western Australia Law Review"
"Craies, ""The Compulsion of Subjects to Leave the Realm"" (1890) 6 Law Quarterly Review"
"Craig, ""Public Law and Control over Private Power"", in Taggart (ed), The Province of Administrative Law, (1997) 196 at 198-199."
"Craig, ""Sovereignty of the United Kingdom Parliament after Factortame"", (1991) 11 Yearbook of European Law"
"Craig and Schonberg, ""Substantive Legitimate Expectations after Coughlan"", (2000) Public Law"
"Craven, ""The Crisis of Constitutional Literalism in Australia"", in Lee and Winterton"
"Craven, ""The Crisis of Constitutional Literalism in Australia"", in Lee and Winterton"
"Crawford, ""The New Structure of Australian Courts"", (1977-78) 6 Adelaide Law Review"
"Cretney, ""The Rationale of Keech v Sandford"", (1969) 33 The Conveyancer and Property Lawyer"
"Cretney, ""The Rationale of Keech v Sandford"", (1969) 33 The Conveyancer and Property Lawyer"
"Cretney, ""The Little Woman and the Big Bad Bank"", (1992) 108 Law Quarterly Review"
"Cretney, ""The Little Woman and the Big Bad Bank"", (1992) 108 Law Quarterly Review"
"Crommelin, ""Mineral Exploration in Australia and Western Canada"", (1974) 9 University of British Columbia Law Review"
"Crommelin, ""Mineral Exploration in Australia and Western Canada"", (1974) 9 University of British Columbia Law Review"
"Crommelin, ""Mineral Exploration in Australia and Western Canada"", (1974) 9 University of British Columbia Law Review"
"Crommelin, ""The Executive"", in Craven (ed), The Convention Debates 1891-1898:"
"Crommelin, ""The Executive"", in Craven (ed), The Convention Debates 1891-1898:"
"Crommelin, ""The Executive"", in Craven (ed), The Convention Debates 1891-1898:"
"Crommelin, ""The Executive"", in Craven (ed), The Convention Debates 1891-1898:"
"Crommelin, ""The Executive"", in Craven (ed), The Convention Debates"
"Cromwell et al, ""Group Effects on Decision-making by Burglars"", (1991) 69 Psychological Reports"
"Cronin, ""Waiver of the Rule Against Bias"", (2000) 9 Auckland University Law Review"
"Curtis, ""A New Constitutional Settlement for Australia"", (1981) 12 Federal Law Review"
"D St Leger Kelly, ""Chief Justice Bray and the Conflict of Laws"", (1980) 7 Adelaide Law Review"
"D St Leger Kelly, ""Chief Justice Bray and the Conflict of Laws"", (1980) 7 Adelaide Law Review"
"Dal Pont, ""An Ethical Framework for Governmental Responsibility to the Electorate"", (1994) 10 Queensland University of Technology Law Journal"
"Dal Pont, ""An Ethical Framework for Governmental Responsibility to the Electorate"", (1994) 10 Queensland University of Technology Law Journal"
"Dal Pont, ""An Ethical Framework for Governmental Responsibility to the Electorate"", (1994) 10 Queensland University of Technology Law Journal"
"Dal Pont, ""An Ethical Framework for Governmental Responsibility to the Electorate"", (1994) 10 Queensland University of Technology Law Journal"
"Daly, ""A Typology of Materiality"" (2019) 26 Australian Journal of Administrative Law"
"Daly, ""A Typology of Materiality"" (2019) 26 Australian Journal of Administrative Law"
"Daly, ""A Typology of Materiality"" (2019) 26 Australian Journal of Administrative Law"
"Davidson, ""Reinstatement of Employees by State Industrial Tribunals"", (1980) 54 Australian Law Journal"
"Davies, ""Common Law Liability of Statutory Authorities"" (1997) 27 University of Western Australia Law Review"
"Davies, ""Application of Weissensteiner to direct evidence"", (2000) 74 Australian Law Journal"
"Davies, ""Neighbours in the House of Lords"" (1995) 69 Australian Law Journal"
"Davis, ""An Approach to Problems of Evidence in the Administrative Process"", (1942) 55 Harvard Law Review"
"Davis, ""An Approach to Problems of Evidence in the Administrative Process"", (1942) 55 Harvard Law Review"
"Davis, ""Judicial Notice"", (1955) 55 Columbia Law Review"
"Davis, ""Judicial Notice"", (1955) 55 Columbia Law Review"
"Davis, ""Judicial Notice"", (1955) 55 Columbia Law Review"
"Dawson, ""Book Review"", (1966) 10 American Journal of Legal History"
"De Costa, ""The Corporations Law and Cooperative Federalism after The Queen v Hughes"", (2000) 22 Sydney Law Review"
"de Lacy, ""Romalpa Theory and Practice under Retention of Title in the Sale of Goods"", (1995) 24 Anglo-American Law Review"
"de Lacy, ""Romalpa Theory and Practice under Retention of Title in the Sale of Goods"", (1995) 24 Anglo-American Law Review"
"de Lacy, ""Romalpa Theory and Practice under Retention of Title in the Sale of Goods"", (1995) 24 Anglo-American Law Review"
"de Lacy, ""Romalpa Theory and Practice under Retention of Title in the Sale of Goods"", (1995) 24 Anglo-American Law Review"
"de Lacy, ""Romalpa Theory and Practice under Retention of Title in the Sale of Goods"", (1995) 24 Anglo-American Law Review"
"de Smith, ""Political Asylum and the Commonwealth"", (1963) 16 Parliamentary Affairs"
"De Smith, ""Statutory Restriction of Judicial Review"", (1955) 18 Modern Law Review"
"De Smith, ""Statutory Restriction of Judicial Review"", (1955) 18 Modern Law Review"
"De Smith, ""Statutory Restriction of Judicial Review"", (1955) 18 Modern Law Review"
"de Smith, ""The Prerogative Writs"" (1951) 11 Cambridge Law Journal"
"Deakin, ""Federal Jurisdiction of State Courts"", in Brazil and Mitchell"
"Deazley, ""The Myth of Copyright at Common Law"", (2003) 62 Cambridge Law Journal"
"Deazley, ""Reviews"", (2011) 74 Modern Law Review"
"Delahunty, ""The Influence of Limiting Instructions on Processing and Judgments of Emotionally Evocative Evidence"", (2006) 13 Psychiatry,"
"Delcanho, ""Screening for temporomandibular disorders in dental practice"", (1994) 39 Australian Dental Journal"
"Delcanho, ""Screening for temporomandibular disorders in dental practice"", (1994) 39 Australian Dental Journal"
"Denning, ""Quantum Meruit and the Statute of Frauds"" (1925) 41 Law Quarterly Review"
"Denning, ""Quantum Meruit and the Statute of Frauds"" (1925) 41 Law Quarterly Review"
"Denning, ""Presumptions and Burdens"", (1945) 61 Law Quarterly Review"
"Denning, ""Presumptions and Burdens"", (1945) 61 Law Quarterly Review"
"Dershowitz, ""The Origins of Preventive Confinement in Anglo-American Law"" (1974) 43 University of Cincinnati Law Review"
"Descheemaeker, ""The Standardisation of Tort Damages"" (2021) 84 Modern Law Review"
"Jessup, ""The Impact of Amendments to Federal Industrial Law upon Existing Proceedings in Industrial Tribunals"", (1998) 11 Australian Journal of Labour Law"
"Detmold, ""The New Constitutional Law"" (1994) 16 Sydney Law Review"
"Deutsch, ""Compensation for Pure Economic Loss in German Law"", in Banakas (ed), Civil Liability for Pure Economic Loss (1996) 73 at 73-74."
"Deutsch, ""Compensation for Pure Economic Loss in German Law"", in Banakas (ed), Civil Liability for Pure Economic Loss (1996) 73 at 86."
"Deutsch, ""Compensation for Pure Economic Loss in German Law"", in Banakas "
"Dhawan and Marshall, ""Sexual Abuse Histories of Sexual Offenders"", (1996) 8 Sexual Abuse:"
"Dietrich, ""Giving Content to General Concepts"", (2005) 29 Melbourne University Law Review"
"Dietrich, ""Giving Content to General Concepts"", (2005) 29 Melbourne University Law Review"
"Diplock, ""The Courts as Legislators"", in Harvey (ed), The Lawyer and Justice, (1978) 263 at 274 cited Kingston (1987) 11 NSWLR"
"Diplock, ""The Courts as Legislators"", in The Lawyer and Justice, (1978) 263 at 274 Kingston (1987) 11 NSWLR"
"Diplock, ""Judicial Development of Law in the Commonwealth"", [1978] 1 Malaysian Law Journal at cviii."
"Diplock, ""The Courts As Legislators"", in Harvey (ed),  The Lawyer and Justice (1978) 265 at 274."
"Diplock, ""Judicial Development of Law in the Commonwealth"", [1978] 1 Malaysian Law Journal,"
"Diplock, ""The Courts as Legislators"", in Harvey"
"Diplock, ""The Courts as Legislators"", in Harvey"
"Diplock, ""The Courts as Legislators"", in Harvey"
"Morabito, ""The Constitutional Restriction on Taxes Imposed on Crown Property"", (1998) 1 Journal of Australian Taxation"
"Tinaglia, ""Same-Sex Harassment in Illinois after Oncale v Sundowner Offshore Services"", (1998) 86 Illinois Bar Journal"
"Dixit, ""The Role of Investment in Entry-Deterrence"", (1980) 90 Economic Journal"
"Dixon, ""Concerning Judicial Method"", in Crennan and Gummow (eds), Jesting Pilate, And Other Papers and Addresses, 3rd ed (2019) 112 at 119,"
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"", in Crennan and Gummow (eds), Jesting Pilate, 3rd ed (2019) at 203."
"Dixon, ""Concerning Judicial Method"", in Jesting Pilate and Other Papers and Addresses, 2nd ed (1997) 152 at 155, 157-158."
"Dixon, ""Two Constitutions Compared"", in Woinarski, Jesting Pilate and Other Papers and Addresses, (1965) 100 at 102."
"Dixon, ""Concerning Judicial Method"", in Jesting Pilate and other Papers and Addresses, (1965) 152 at 157."
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"", in Jesting Pilate, (1965) 203 at 206-"
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"", (1957) 31 Australian Law Journal,"
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"", (1957) 31 Australian Law Journal"
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"", (1957) 31 Australian Law Journal"
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"" (1957) 31 Australian Law Journal"
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"" (1957) 31 Australian Law Journal"
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"", in Jesting Pilate, (1965) 203."
"Dixon, ""The Common Law as an Ultimate Constitutional Foundation"", in Jesting Pilate, (1965) 203."
"Dixon, ""The Development of the Law of Homicide"", (1935) 9 Australian Law Journal Supplement"
